,activity_type,altitude,ant_device_number,ant_network,ant_transmission_type,antplus_device_type,avg_cadence_position,avg_fractional_cadence,avg_heart_rate,avg_left_power_phase,avg_left_power_phase_peak,avg_power_position,avg_right_power_phase,avg_right_power_phase_peak,avg_running_cadence,avg_speed,avg_stance_time,avg_stance_time_balance,avg_stance_time_percent,avg_step_length,avg_vertical_oscillation,avg_vertical_ratio,battery_status,battery_voltage,cadence,cum_operating_time,data,device_index,device_type,distance,end_position_lat,end_position_long,enhanced_altitude,enhanced_avg_speed,enhanced_max_speed,enhanced_speed,event,event_group,event_type,first_lap_index,fractional_cadence,garmin_product,hardware_version,heart_rate,lap_trigger,local_timestamp,manufacturer,max_cadence_position,max_fractional_cadence,max_heart_rate,max_power_position,max_running_cadence,max_speed,message_index,name,nec_lat,nec_long,num_laps,num_sessions,position_lat,position_long,product,serial_number,software_version,source_type,speed,sport,stance_time,stance_time_balance,stance_time_percent,start_position_lat,start_position_long,start_time,step_length,sub_sport,swc_lat,swc_long,temperature,time_created,time_in_hr_zone,time_in_power_zone,timer_trigger,timestamp,total_ascent,total_calories,total_descent,total_distance,total_elapsed_time,total_strides,total_timer_time,total_training_effect,type,vertical_oscillation,vertical_ratio
0,running,253.79999999999995,,,,,,,,,,,,,,,,,,,,,,,69,,,,,211.69,,,253.79999999999995,,,1.54,,,,,0.0,,,128,,,,,,,,,,,,,,,,492757814,-1146598869,,,,,1.54,,449.0,48.87,49.5,,,,684.0,,,,26,,,,,2019-01-01 16:47:10,,,,,,,,,,44.7,6.12
0,walking,254.0,,,,,,,,,,,,,,,,,,,,,,,68,,,,,213.33,,,254.0,,,1.474,,,,,0.5,,,127,,,,,,,,,,,,,,,,492757789,-1146599102,,,,,1.474,,,,,,,,676.0,,,,26,,,,,2019-01-01 16:47:11,,,,,,,,,,44.7,6.25
0,walking,254.60000000000002,,,,,,,,,,,,,,,,,,,,,,,65,,,,,218.34,,,254.60000000000002,,,1.614,,,,,0.0,,,130,,,,,,,,,,,,,,,,492757592,-1146599761,,,,,1.614,,,,,,,,716.0,,,,26,,,,,2019-01-01 16:47:14,,,,,,,,,,52.5,6.71
0,running,254.60000000000002,,,,,,,,,,,,,,,,,,,,,,,63,,,,,219.9,,,254.60000000000002,,,1.624,,,,,0.5,,,130,,,,,,,,,,,,,,,,492757478,-1146599936,,,,,1.624,,466.0,48.87,49.25,,,,742.0,,,,26,,,,,2019-01-01 16:47:15,,,,,,,,,,53.5,6.71
0,running,254.79999999999995,,,,,,,,,,,,,,,,,,,,,,,58,,,,,222.89,,,254.79999999999995,,,1.605,,,,,0.5,,,130,,,,,,,,,,,,,,,,492757205,-1146600161,,,,,1.605,,472.0,48.87,48.5,,,,848.0,,,,26,,,,,2019-01-01 16:47:17,,,,,,,,,,54.5,6.71
0,walking,255.0,,,,,,,,,,,,,,,,,,,,,,,61,,,,,225.71,,,255.0,,,1.53,,,,,0.0,,,129,,,,,,,,,,,,,,,,492756911,-1146600273,,,,,1.53,,,,,,,,596.0,,,,26,,,,,2019-01-01 16:47:19,,,,,,,,,,54.5,6.9
0,running,254.20000000000005,,,,,,,,,,,,,,,,,,,,,,,71,,,,,234.79,,,254.20000000000005,,,1.838,,,,,0.0,,,128,,,,,,,,,,,,,,,,492755966,-1146600599,,,,,1.838,,427.0,49.12,49.0,,,,877.0,,,,26,,,,,2019-01-01 16:47:24,,,,,,,,,,41.7,6.53
0,walking,254.20000000000005,,,,,,,,,,,,,,,,,,,,,,,67,,,,,239.77,,,254.20000000000005,,,1.81,,,,,0.0,,,131,,,,,,,,,,,,,,,,492755437,-1146600713,,,,,1.81,,,,,,,,868.0,,,,26,,,,,2019-01-01 16:47:27,,,,,,,,,,47.7,5.93
0,walking,254.39999999999998,,,,,,,,,,,,,,,,,,,,,,,62,,,,,251.12,,,254.39999999999998,,,1.624,,,,,0.5,,,128,,,,,,,,,,,,,,,,492754288,-1146601195,,,,,1.624,,,,,,,,796.0,,,,26,,,,,2019-01-01 16:47:34,,,,,,,,,,61.5,6.43
0,running,254.60000000000002,,,,,,,,,,,,,,,,,,,,,,,63,,,,,261.39,,,254.60000000000002,,,1.633,,,,,0.5,,,128,,,,,,,,,,,,,,,,492753694,-1146602422,,,,,1.633,,460.0,48.93,48.5,,,,842.0,,,,25,,,,,2019-01-01 16:47:40,,,,,,,,,,57.5,6.71
0,running,254.79999999999995,,,,,,,,,,,,,,,,,,,,,,,61,,,,,263.06,,,254.79999999999995,,,1.624,,,,,0.5,,,131,,,,,,,,,,,,,,,,492753626,-1146602642,,,,,1.624,,477.0,49.06,50.0,,,,871.0,,,,25,,,,,2019-01-01 16:47:41,,,,,,,,,,58.5,6.81
0,walking,255.79999999999995,,,,,,,,,,,,,,,,,,,,,,,75,,,,,272.06,,,255.79999999999995,,,1.913,,,,,0.0,,,133,,,,,,,,,,,,,,,,492753268,-1146603830,,,,,1.913,,,,,,,,669.0,,,,25,,,,,2019-01-01 16:47:46,,,,,,,,,,33.0,5.46
0,running,256.0,,,,,,,,,,,,,,,,,,,,,,,69,,,,,273.43,,,256.0,,,1.913,,,,,0.5,,,134,,,,,,,,,,,,,,,,492753207,-1146604009,,,,,1.913,,380.0,49.65,46.75,,,,830.0,,,,25,,,,,2019-01-01 16:47:47,,,,,,,,,,35.0,5.15
