0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
altitude: 334.79999999999995 [m],cadence: 57 [rpm],distance: 54.18 [m],enhanced_altitude: 334.79999999999995 [m],enhanced_speed: 1.596 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 88 [bpm],position_lat: 492377773 [semicircles],position_long: -1145959246 [semicircles],speed: 1.596 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:22,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 335.0 [m],cadence: 57 [rpm],distance: 62.78 [m],enhanced_altitude: 335.0 [m],enhanced_speed: 1.633 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 91 [bpm],position_lat: 492377789 [semicircles],position_long: -1145958022 [semicircles],speed: 1.633 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:27,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 335.4 [m],cadence: 58 [rpm],distance: 69.72 [m],enhanced_altitude: 335.4 [m],enhanced_speed: 1.54 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 91 [bpm],position_lat: 492378023 [semicircles],position_long: -1145957036 [semicircles],speed: 1.54 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:32,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 335.6 [m],cadence: 57 [rpm],distance: 84.5 [m],enhanced_altitude: 335.6 [m],enhanced_speed: 1.596 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 89 [bpm],position_lat: 492378301 [semicircles],position_long: -1145954940 [semicircles],speed: 1.596 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:56:42,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 335.20000000000005 [m],cadence: 59 [rpm],distance: 92.57 [m],enhanced_altitude: 335.20000000000005 [m],enhanced_speed: 1.642 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 88 [bpm],position_lat: 492378962 [semicircles],position_long: -1145954215 [semicircles],speed: 1.642 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:56:47,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 336.6 [m],cadence: 55 [rpm],distance: 111.06 [m],enhanced_altitude: 336.6 [m],enhanced_speed: 1.521 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 86 [bpm],position_lat: 492380935 [semicircles],position_long: -1145953858 [semicircles],speed: 1.521 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:56:58,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 337.6 [m],cadence: 53 [rpm],distance: 117.83 [m],enhanced_altitude: 337.6 [m],enhanced_speed: 1.213 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 87 [bpm],position_lat: 492381676 [semicircles],position_long: -1145953728 [semicircles],speed: 1.213 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:57:04,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 338.20000000000005 [m],cadence: 53 [rpm],distance: 119.03 [m],enhanced_altitude: 338.20000000000005 [m],enhanced_speed: 1.11 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 94 [bpm],position_lat: 492381716 [semicircles],position_long: -1145953563 [semicircles],speed: 1.11 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:57:07,unknown_87: 0,unknown_88: 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 338.20000000000005 [m],cadence: 53 [rpm],distance: 120.27 [m],enhanced_altitude: 338.20000000000005 [m],enhanced_speed: 1.092 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 94 [bpm],position_lat: 492381689 [semicircles],position_long: -1145953389 [semicircles],speed: 1.092 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:57:08,unknown_87: 0,unknown_88: 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 338.4 [m],cadence: 55 [rpm],distance: 120.64 [m],enhanced_altitude: 338.4 [m],enhanced_speed: 1.036 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 94 [bpm],position_lat: 492381653 [semicircles],position_long: -1145953335 [semicircles],speed: 1.036 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:57:10,unknown_87: 0,unknown_88: 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
